ano_sinistro,indicador,categoria,obitos
2016,Codigo IBGE,3518701,54
2016,Codigo IBGE,3518800,139
2016,Codigo IBGE,3518859,3
2016,Codigo IBGE,3518909,4
2016,Codigo IBGE,3519006,3
2016,Codigo IBGE,3519055,1
2016,Codigo IBGE,3519071,25
2016,Codigo IBGE,3519105,2
2016,Codigo IBGE,3519204,2
2016,Codigo IBGE,3519253,3
2016,Codigo IBGE,3519303,5
2016,Codigo IBGE,3519402,4
2016,Codigo IBGE,3519501,1
2016,Codigo IBGE,3519600,3
2016,Codigo IBGE,3519709,21
2016,Codigo IBGE,3519808,1
2016,Codigo IBGE,3520004,1
2016,Codigo IBGE,3520103,2
2016,Codigo IBGE,3520202,2
2016,Codigo IBGE,3520301,9
2016,Codigo IBGE,3520400,3
2016,Codigo IBGE,3520426,4
2016,Codigo IBGE,3520442,7
2016,Codigo IBGE,3520509,21
2016,Codigo IBGE,3520608,4
2016,Codigo IBGE,3520905,3
2016,Codigo IBGE,3521002,1
2016,Codigo IBGE,3521101,3
2016,Codigo IBGE,3521150,1
2016,Codigo IBGE,3521200,1
2016,Codigo IBGE,3521309,1
2016,Codigo IBGE,3521408,1
2016,Codigo IBGE,3521507,1
2016,Codigo IBGE,3521606,1
2016,Codigo IBGE,3521705,6
2016,Codigo IBGE,3521804,6
2016,Codigo IBGE,3521903,5
2016,Codigo IBGE,3522109,25
2016,Codigo IBGE,3522208,29
2016,Codigo IBGE,3522307,28
2016,Codigo IBGE,3522406,18
2016,Codigo IBGE,3522505,20
2016,Codigo IBGE,3522604,17
2016,Codigo IBGE,3522703,6
2016,Codigo IBGE,3522802,4
2016,Codigo IBGE,3522901,2
2016,Codigo IBGE,3523008,2
2016,Codigo IBGE,3523107,35
2016,Codigo IBGE,3523206,3
2016,Codigo IBGE,3523305,8
2016,Codigo IBGE,3523404,20
2016,Codigo IBGE,3523503,2
2016,Codigo IBGE,3523602,8
2016,Codigo IBGE,3523800,2
2016,Codigo IBGE,3523909,36
2016,Codigo IBGE,3524006,5
2016,Codigo IBGE,3524105,5
2016,Codigo IBGE,3524303,9
